,title,overview,original_language,release_date,popularity,vote_count,vote_average
8753,The Big Night,"The exploits of three young Roman criminals are chronicled in this socially conscious drama. The young men commit petty crimes all day begin with arms theft, and culminating with a night with three streetwalkers. After their pleasure, the boys try to cheat the hookers, but they ladies are smarter than that and have stolen their cash ahead of time.  It's back to the city for the boys, where they continue their destructive games...",it,1959-11-12,30.734,17,6.5
8754,Feast II: Sloppy Seconds,The monsters have made it into a small neighboring town in the middle of nowhere and the locals have to band with the survivors of the bar' slaughter to figure out how to survive.,en,2008-10-07,30.734,160,5.2
8755,Blue Juice,"JC is the hero of the Cornish surfing community. Staring thirty hard in the face, he fears that the wave that has carried him through a prolonged adolescence is heading for the rocks as his girlfriend pressures him for commitment and his friends contemplate growing up.",en,1995-09-15,30.733,29,3.8
8756,Close,"A counter-terrorism expert takes a job protecting a young heiress. After an attempted kidnapping puts both of their lives in danger, they must flee.",en,2019-01-18,30.73,807,5.8
8757,Another 9 1/2 Weeks,"John heads to Paris hoping to meet his ex from the first movie, but instead ends up with her former friend, Lea.",en,1997-06-12,30.728,83,4.7
8758,Straight A's,"Pressured by his deceased mother's ghost to return home to the family he abandoned, a former addict grabs a bag of pills and a sack of marijuana and hits the road to Shreveport.",en,2013-01-16,30.727,123,5.2
8759,Where the Wild Things Are,"Max imagines running away from his mom and sailing to a far-off land where large talking beasts—Ira, Carol, Douglas, the Bull, Judith and Alexander—crown him as their king, play rumpus, build forts and discover secret hideaways.",en,2009-10-16,30.726,1724,6.471
8760,Auto Focus,"A successful TV star during the 1960s, former ""Hogan's Heroes"" actor Bob Crane projects a wholesome family-man image, but this front masks his persona as a sex addict who records and photographs his many encounters with women, often with the help of his seedy friend, John Henry Carpenter. This biographical drama reveals how Crane's double life takes its toll on him and his family, and ultimately contributes to his death.",en,2002-10-18,30.724,173,6.442
8761,Cinema Paradiso,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",it,1988-11-17,30.724,4042,8.447
8762,Space Jam,"Jokes fly as the Tune Squad takes on the Nerdlucks in a hardcourt game to decide if the Looney Tunes remain here... or become attractions at a far-off galactic off-ramp called Moron Mountain. The Nerdlucks have a monstrous secret weapon: they've stolen the skills of top NBA stars like Charles Barkley and Patrick Ewing and become Monstars. But that's not all, folks. The Tune Squad’s secret weapon just happens to be the finest player in this or any other universe. He's outta this world. So's the fun.",en,1996-11-15,30.72,5672,6.8
8763,Nimic,A professional cellist has an encounter with a stranger on the subway which has unexpected and far-reaching ramifications on his life.,en,2020-01-30,30.719,177,6.582
8764,The Pornographer,"Jacques Laurent made pornographic films in the 1970s and '80s, but had put that aside for 20 years. His artistic ideas, born of the '60s counter-culture, had elevated the entire genre. Older and paunchier, he is now directing a porno again. Jacques's artistry clashes with his financially-troubled producer's ideas about shooting hard-core sex. Jacques has been estranged from his son Joseph for years, since the son first learned the nature of the family business. They are now speaking again. Joseph and his friends want to recapture the idealism of 1968 with a protest. Separated from his wife, Jacques strives for personal renewal with plans to build a new house by himself...",fr,2001-10-03,30.719,57,4.7
8765,Suburra,"A gangster known as ""Samurai"" wants to turn the waterfront of Rome into a new Las Vegas. All the local mob bosses have agreed to work for this common goal. But peace is not to last long.",it,2015-10-14,30.717,1200,7.304
8766,Hannah and Her Sisters,"Between two Thanksgivings, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",en,1986-02-07,30.717,947,7.5
8767,Setup,"A group of friends plan out a detailed heist that turns deadly when one betrays the other by taking off with the goods. Taking matters into his own hands, Sonny seeks out his revenge teaming up with the most dangerous mob boss in town to get back what is rightfully his. When he finally comes face to face with his longtime friend he will be forced to make a life changing choice.",en,2011-10-17,30.716,377,4.922
8768,Fantastic Four,Set in the Marvel Cinematic Universe (MCU) and based on the Marvel Comics characters of the same name.,en,2025-04-30,30.713,0,0.0
8769,400 Days,"4 would be astronauts spend 400 days in a land locked space simulator to test the psychological effects of deep space travel but, when something goes terribly wrong and they are forced to leave the simulation, they discover that everything on earth has changed. Is this real or is the simulation on a higher level than they could have ever imagined?",en,2015-10-29,30.709,446,4.3
8770,Jesse Stone: Innocents Lost,Jesse investigates the suspicious death of a young friend while the police force deals with the arrogant new police chief who is the son-in-law of a town councilman.,en,2011-05-21,30.708,63,6.5
8771,Wire Room,"New recruit Justin Rosa must monitor arms-smuggling cartel member Eddie Flynn — and keep him alive at all costs. When a SWAT team descends on Flynn’s home, Rosa breaks protocol and contacts the gangster directly to save his life. As gunmen break into the Wire Room and chaos erupts, Mueller and Rosa make a final, desperate stand against the corrupt agents and officials who seek to destroy evidence and kill them both.",en,2022-09-02,30.706,139,6.464
8772,Scooby-Doo! and the Gourmet Ghost,"The Scooby gang visits a culinary resort run by Fred's uncle, Bobby Flay. While enjoying the sights, a ghost attacks the guests and destroys the resort, leaving the gang to put a stop to its threat.",en,2018-08-28,30.704,149,8.2
8773,There Are No Saints,"A man is imprisoned for a crime he didn't commit. When his wife is murdered and his son kidnapped and taken to Mexico, he devises an elaborate and dangerous plan to rescue his son and avenge the murder.",en,2022-05-27,30.704,100,5.2
8774,9 Bullets,"A former burlesque dancer turned author discovers a second chance at life and redemption when she risks everything to rescue her young neighbor after he witnesses his parents’ murder. Now on the run from the local crime boss, who happens to be her longtime ex, she makes a desperate attempt to get the boy to safety.",en,2022-04-14,30.703,97,5.119
8775,Rocco,"Rocco Siffredi is to pornography what Mike Tyson is to boxing or Mick Jagger is to rock’n’roll: a living legend. His mother wanted him to be a priest; with her blessing he became a hardcore performer, devoting his life to one God only: Desire. Rocco Siffredi reveals all, even if it sometimes means busting his own myth: his true story, beginnings, career, wife and children… and the ultimate revelation that will change his life forever.",fr,2016-11-30,30.703,157,5.6
8776,Flowers in the Attic,"After the sudden death of their father, four children face cruel treatment from their ruthless grandmother.",en,2014-01-18,30.703,337,6.6
8777,Leprechaun 3,"It was a normal night in Las Vegas, Nevada, all the lights were flashing brightly, until a man with one hand, one eye, and one leg walks into a pawn shop with a statue of a hideous looking Leprechaun. The owner claims it's a good luck charm. The statue also wore a medallion around it's neck. The careless pawn shop owner took off the medallion setting the Leprechaun free...",en,1995-07-04,30.7,290,5.851
8778,Holiday in the Wild,"When her husband abruptly ends their marriage, empty nester Kate embarks on a solo second honeymoon in Africa, finding purpose and potential romance.",en,2019-11-06,30.699,503,6.5
